Zip Code,NumberOfStarbucks,Total Population,Median Household Income,Median Contract Rent,Total Housing Units,Total Labor Force Participation (Age 16+),Total Unemployment (Age 16+),ACCESS2,CHECKUP,DENTAL,DIABETES,MHLTH,OBESITY,PHLTH
90045,17.0,41123.0,125692.0,2612.0,17377.0,23417.0,1506.0,5.5,64.0,71.1,7.4,14.7,24.3,8.0
91505,10.0,32156.0,104361.0,2045.0,14220.0,18075.0,1242.0,6.7,63.2,69.3,8.3,14.0,25.8,9.1
90230,9.0,32005.0,107870.0,2193.0,14150.0,17812.0,881.0,8.4,65.2,68.6,9.7,13.2,25.5,9.3
91324,8.0,29744.0,100086.0,1986.0,11175.0,16595.0,1132.0,10.2,63.6,64.0,10.1,14.8,25.8,10.3
90036,8.0,37713.0,97583.0,2456.0,21848.0,25290.0,2176.0,4.4,61.1,72.0,6.0,13.8,22.2,6.9
91364,8.0,28765.0,128306.0,2530.0,11094.0,15625.0,1192.0,4.6,66.6,72.9,8.7,12.9,24.9,9.3
90245,7.0,17081.0,142596.0,2409.0,7518.0,10535.0,568.0,4.8,63.3,73.1,7.2,13.3,24.8,8.2
90028,7.0,30982.0,57258.0,1639.0,22079.0,21042.0,2173.0,10.2,60.2,60.2,9.0,17.0,28.3,10.2
90250,6.0,96200.0,74616.0,1551.0,33693.0,51978.0,3716.0,15.2,62.8,55.7,11.4,17.3,32.5,11.9
91606,6.0,43552.0,64976.0,1512.0,16392.0,24375.0,1854.0,16.0,61.3,56.2,11.4,17.3,31.0,12.7
90017,6.0,28754.0,46626.0,1377.0,15341.0,16151.0,1006.0,25.7,57.8,43.4,13.4,20.3,32.3,14.6
90046,6.0,48170.0,87339.0,1952.0,31405.0,34716.0,2900.0,5.1,62.0,70.6,6.9,14.3,25.1,8.2
90745,6.0,58735.0,103471.0,1621.0,16293.0,30137.0,1805.0,11.8,64.1,60.4,12.6,13.5,24.7,10.2
90034,6.0,55061.0,97511.0,1974.0,28847.0,37423.0,2015.0,7.4,60.7,68.0,7.0,14.1,24.2,7.7
91403,5.0,25887.0,107970.0,2144.0,12988.0,16873.0,1388.0,4.4,64.2,73.7,7.0,13.1,24.2,8.0
91344,5.0,53862.0,111897.0,1873.0,18383.0,27639.0,2197.0,7.7,64.9,67.8,9.9,13.5,24.9,9.8
91604,5.0,32073.0,132494.0,2228.0,15578.0,19925.0,1950.0,4.0,64.1,74.9,6.8,12.8,23.9,7.7
91311,5.0,40196.0,112172.0,1877.0,14738.0,21655.0,1178.0,6.6,65.4,68.6,9.8,13.5,25.2,9.8
91307,5.0,25368.0,130877.0,3042.0,8836.0,13098.0,1372.0,5.3,66.3,71.9,9.2,12.9,24.3,9.4
90732,5.0,22078.0,115120.0,2097.0,9162.0,11224.0,647.0,6.9,67.3,69.8,10.2,13.1,25.8,10.3
90025,5.0,44429.0,103511.0,2320.0,24131.0,30384.0,2102.0,5.7,61.3,70.1,6.6,13.8,22.3,7.5
90012,5.0,38430.0,58444.0,1897.0,16350.0,18197.0,1467.0,14.3,60.7,51.8,13.2,15.0,24.5,10.8
90024,5.0,50392.0,74852.0,2479.0,20313.0,24013.0,2336.0,6.9,60.3,63.3,5.5,19.7,20.3,7.9
90280,5.0,92262.0,67287.0,1294.0,24431.0,47087.0,3688.0,25.6,58.9,50.0,12.6,18.0,33.7,13.9
90405,5.0,26981.0,101713.0,2090.0,15786.0,16182.0,1151.0,4.5,64.0,73.2,7.5,13.1,24.4,8.2
90015,5.0,25554.0,61959.0,2176.0,14456.0,16296.0,1164.0,21.4,59.5,49.3,13.1,18.2,31.3,13.4
90292,5.0,24481.0,136854.0,3341.0,16240.0,16894.0,962.0,4.4,64.2,72.0,7.8,13.3,24.8,8.3
90403,4.0,24092.0,123391.0,2287.0,14773.0,14585.0,756.0,3.6,64.6,75.4,6.9,12.5,23.2,7.6
91367,4.0,44862.0,106355.0,2385.0,19940.0,25444.0,1886.0,5.2,65.2,71.1,8.4,13.4,24.3,9.1
90027,4.0,45764.0,86826.0,1737.0,23773.0,29860.0,2506.0,7.7,62.7,65.7,9.1,14.9,25.8,9.7
90265,4.0,16652.0,186264.0,2985.0,8950.0,7808.0,477.0,3.6,67.1,75.7,8.4,12.6,24.4,8.9
91303,4.0,30611.0,77437.0,1726.0,10855.0,18259.0,1294.0,18.0,58.7,54.4,9.9,17.5,30.2,11.7
90019,4.0,59410.0,65972.0,1519.0,26022.0,34043.0,2885.0,14.3,63.8,56.5,12.8,15.9,30.1,11.7
90020,4.0,38400.0,55321.0,1562.0,18981.0,22624.0,1549.0,11.6,60.6,57.2,10.6,14.4,23.1,9.2
91316,4.0,28497.0,85354.0,1831.0,13390.0,15341.0,1221.0,5.9,65.8,69.5,9.1,14.1,25.8,10.1
90016,4.0,47309.0,63090.0,1448.0,19194.0,26678.0,1955.0,17.0,64.9,52.9,14.0,17.6,35.2,13.4
91406,4.0,53276.0,71819.0,1618.0,19534.0,29868.0,2074.0,15.5,60.8,57.2,10.5,16.9,30.3,11.9
90301,4.0,37341.0,61910.0,1503.0,12858.0,19873.0,1655.0,18.4,63.8,51.4,14.0,18.1,35.8,13.8
90014,4.0,9273.0,26550.0,1275.0,7176.0,5309.0,614.0,13.4,65.2,50.0,18.5,17.2,34.7,15.3
90007,4.0,41004.0,36326.0,1242.0,13936.0,20969.0,2616.0,17.6,58.6,47.3,10.6,22.4,29.4,12.4
90048,4.0,20411.0,102244.0,2181.0,13755.0,13538.0,900.0,4.2,63.7,73.9,6.7,13.2,23.3,7.8
91011,4.0,20389.0,210532.0,3349.0,6987.0,9028.0,405.0,3.1,68.0,77.0,8.7,10.5,20.8,7.7
91204,4.0,18445.0,69102.0,1717.0,6886.0,9922.0,777.0,12.3,63.1,56.1,12.4,16.8,28.4,12.8
90731,4.0,63431.0,69019.0,1451.0,24473.0,32908.0,2152.0,14.9,62.4,57.4,11.7,16.9,31.5,12.7
91506,4.0,19559.0,104009.0,1740.0,8689.0,11954.0,771.0,7.2,64.3,68.7,9.1,14.0,26.1,9.8
91405,4.0,55451.0,58365.0,1489.0,19425.0,30995.0,2620.0,17.2,60.7,53.8,11.6,17.6,31.4,12.8
90041,4.0,28321.0,111938.0,1593.0,10382.0,15740.0,942.0,8.3,64.0,66.7,10.3,13.4,23.3,9.1
91105,4.0,12692.0,163253.0,2806.0,6615.0,6881.0,322.0,4.2,69.0,75.1,9.5,10.8,23.0,8.6
90501,4.0,42536.0,89926.0,1635.0,15839.0,22978.0,1548.0,11.9,62.3,61.1,10.5,14.9,26.4,10.3
90802,4.0,40012.0,69613.0,1643.0,24367.0,26631.0,2075.0,10.6,61.7,60.7,9.5,16.5,30.0,10.5
91504,3.0,27479.0,99318.0,1854.0,10804.0,14427.0,878.0,7.4,63.9,68.4,8.9,14.2,25.4,9.5
91335,3.0,77158.0,74632.0,1595.0,25512.0,41109.0,2799.0,14.0,62.1,58.4,11.0,16.1,28.7,11.9
91754,3.0,33937.0,83490.0,1664.0,12639.0,16764.0,957.0,10.1,66.2,59.2,15.0,11.8,19.5,9.9
90272,3.0,21298.0,225256.0,2975.0,9106.0,9645.0,353.0,2.8,69.4,79.0,8.3,10.6,22.9,8.2
91356,3.0,30599.0,105513.0,1760.0,12534.0,16730.0,1096.0,6.1,66.0,69.5,9.2,14.1,26.0,10.1
91423,3.0,31787.0,104205.0,1971.0,16329.0,20497.0,2242.0,4.7,63.8,72.9,7.2,13.6,25.0,8.3
90033,3.0,47655.0,50616.0,1155.0,14149.0,22360.0,2234.0,29.6,59.5,43.2,15.7,19.3,35.0,16.3
91342,3.0,92580.0,89264.0,1670.0,26221.0,47398.0,2997.0,18.4,60.7,56.6,11.3,16.3,30.8,12.1
91321,3.0,34305.0,84503.0,1876.0,11462.0,18088.0,799.0,13.9,62.2,60.6,9.8,16.5,28.6,11.5
90404,3.0,23975.0,87209.0,1968.0,11436.0,13304.0,748.0,7.4,63.1,67.1,8.7,14.7,25.8,9.3
90069,3.0,20045.0,106133.0,2093.0,15102.0,14567.0,1144.0,4.4,62.0,72.6,6.8,12.9,24.9,7.8
90038,3.0,27979.0,57102.0,1594.0,14610.0,18484.0,1384.0,17.1,59.3,54.3,10.9,17.6,30.8,12.2
91345,3.0,18481.0,93622.0,1752.0,5607.0,9989.0,529.0,14.7,63.0,61.4,11.2,14.5,28.2,11.1
91803,3.0,29006.0,76694.0,1597.0,10517.0,14913.0,720.0,11.5,64.1,58.3,13.5,13.1,22.3,10.3
91214,3.0,32344.0,126175.0,2193.0,11144.0,16665.0,963.0,4.7,65.3,72.0,8.8,12.4,22.4,8.6
90504,3.0,32965.0,101773.0,2057.0,12397.0,17298.0,1098.0,6.9,64.9,66.4,10.7,12.7,22.3,9.0
91201,3.0,22163.0,67102.0,1782.0,8536.0,11484.0,1230.0,9.0,63.3,61.7,10.4,16.6,27.8,12.1
90247,3.0,47682.0,70012.0,1534.0,17031.0,25801.0,1269.0,14.6,64.3,54.9,13.8,15.4,28.5,11.8
90010,3.0,4185.0,92454.0,2254.0,2913.0,2766.0,80.0,8.9,62.2,56.6,11.8,13.8,19.5,9.2
90026,3.0,64769.0,80549.0,1529.0,28179.0,40173.0,3083.0,14.8,60.3,58.1,10.8,15.8,27.9,10.8
90064,3.0,25956.0,123929.0,2458.0,12545.0,14869.0,711.0,4.8,65.0,73.6,7.9,12.1,22.4,7.8
90710,3.0,27517.0,75114.0,1328.0,9738.0,13678.0,1071.0,13.3,64.1,58.9,12.2,15.2,28.2,11.6
91302,3.0,26318.0,172651.0,2658.0,10130.0,13062.0,1210.0,3.7,66.0,75.2,8.0,12.8,24.2,8.6
91030,3.0,26583.0,127882.0,1950.0,10968.0,14708.0,764.0,4.7,65.1,73.2,8.6,11.5,21.8,7.5
91801,3.0,53320.0,81580.0,1698.0,21568.0,28905.0,1685.0,9.9,63.9,59.4,12.7,12.9,21.2,9.6
90001,2.0,57652.0,57698.0,1237.0,14157.0,26761.0,2676.0,30.6,58.4,41.3,14.4,20.9,37.2,16.4
90212,2.0,10881.0,101963.0,2440.0,6200.0,6294.0,699.0,3.8,65.9,74.1,7.8,13.2,23.8,8.4
90262,2.0,66073.0,67620.0,1363.0,15619.0,30957.0,2991.0,25.5,58.9,47.6,12.5,19.3,35.0,14.2
90067,2.0,2653.0,125995.0,3458.0,2250.0,1238.0,76.0,3.2,75.3,76.4,11.4,9.4,20.8,9.7
90047,2.0,52200.0,67018.0,1200.0,17989.0,25260.0,2189.0,13.6,69.4,53.4,15.8,17.7,37.5,13.9
90065,2.0,44897.0,88329.0,1497.0,17095.0,26452.0,1905.0,15.5,62.0,59.2,11.8,14.8,28.3,11.3
90211,2.0,9208.0,115025.0,2364.0,4330.0,4850.0,440.0,4.2,65.5,73.3,7.8,13.3,23.4,8.5
90013,2.0,14587.0,24853.0,1056.0,9588.0,7508.0,1254.0,13.2,64.8,49.2,18.6,17.4,35.9,15.4
90035,2.0,26595.0,110520.0,2236.0,13588.0,15659.0,1096.0,5.0,64.5,71.2,7.9,14.0,24.9,8.7
90302,2.0,29307.0,68662.0,1543.0,11130.0,17300.0,1463.0,13.7,66.0,54.9,13.0,17.9,36.2,12.6
90018,2.0,49898.0,58987.0,1308.0,17717.0,25214.0,2018.0,18.6,64.3,51.1,14.7,17.8,35.1,14.0
90232,2.0,16352.0,113278.0,2355.0,7801.0,9293.0,481.0,6.1,63.9,70.9,8.3,13.1,24.3,8.3
90002,2.0,53108.0,54221.0,1267.0,13639.0,24732.0,2793.0,27.6,60.4,41.5,14.8,21.6,38.0,16.4
90304,2.0,25725.0,57647.0,1305.0,7550.0,14121.0,836.0,27.1,58.1,46.5,13.0,19.1,35.1,14.6
90049,2.0,35819.0,161605.0,2691.0,18321.0,20664.0,835.0,3.4,65.9,76.8,7.0,12.1,22.0,7.5
91402,2.0,67937.0,55130.0,1403.0,20571.0,36136.0,3297.0,22.7,59.4,49.0,12.7,18.2,31.4,13.5
90057,2.0,47142.0,46513.0,1285.0,18087.0,25900.0,1733.0,26.2,58.6,44.1,13.9,18.7,31.1,14.3
90004,2.0,58833.0,58420.0,1567.0,25617.0,34462.0,2534.0,15.7,60.7,55.3,11.7,15.7,27.2,11.2
90039,2.0,28244.0,108338.0,1865.0,13126.0,17146.0,1079.0,9.3,62.9,66.8,9.7,13.3,25.2,9.1
91601,2.0,35615.0,73735.0,1806.0,19735.0,23267.0,2296.0,11.4,60.1,60.8,8.6,17.0,29.1,10.2
91042,2.0,27119.0,81324.0,1473.0,10646.0,14443.0,1261.0,9.3,63.4,62.0,10.6,16.3,28.6,11.9
91304,2.0,54369.0,79673.0,1684.0,18780.0,29742.0,2241.0,12.0,63.0,61.7,10.2,15.5,27.7,11.0
91607,2.0,30734.0,82995.0,1770.0,14361.0,18686.0,1490.0,6.7,63.2,68.0,8.2,15.0,26.7,9.6
91326,2.0,36503.0,142170.0,2419.0,13396.0,19232.0,755.0,5.0,66.0,72.1,9.2,11.9,21.6,8.3
90275,2.0,41941.0,166602.0,3133.0,16652.0,19295.0,972.0,3.7,69.8,75.2,10.2,10.2,20.8,8.3
91325,2.0,35537.0,83853.0,1691.0,13647.0,20531.0,1139.0,9.4,63.3,64.1,9.5,15.3,25.6,10.1
90291,2.0,25656.0,111610.0,2349.0,16344.0,17559.0,1238.0,5.7,61.2,70.9,6.8,14.1,26.0,8.0
91401,2.0,39179.0,72476.0,1602.0,15702.0,22713.0,1670.0,13.4,62.1,58.6,10.7,17.1,30.5,12.3
91343,2.0,63193.0,77790.0,1467.0,18681.0,32735.0,2300.0,17.7,61.1,55.7,11.3,16.7,29.4,12.0
91352,2.0,45601.0,68132.0,1521.0,12930.0,23124.0,1357.0,20.3,60.3,53.8,12.0,17.1,31.2,13.0
90066,2.0,54142.0,100344.0,1954.0,26153.0,32894.0,1728.0,8.1,62.7,67.7,8.5,13.8,25.0,9.0
90210,1.0,19180.0,172285.0,2874.0,9690.0,8687.0,371.0,3.8,68.8,75.0,9.1,12.0,23.6,9.3
90094,1.0,11891.0,156536.0,3501.0,6544.0,7305.0,300.0,3.9,60.5,74.0,5.0,13.3,21.6,5.9
91206,1.0,32294.0,85651.0,1881.0,13705.0,16818.0,1454.0,7.0,65.2,65.6,10.4,14.6,25.5,10.7
90402,1.0,11816.0,171844.0,1976.0,5680.0,5453.0,165.0,2.9,68.9,77.9,8.4,10.9,23.0,8.2
91205,1.0,35755.0,58290.0,1682.0,14612.0,18110.0,1425.0,10.4,63.6,58.5,11.8,16.9,28.2,12.7
90005,1.0,37754.0,49226.0,1495.0,18650.0,21888.0,1034.0,17.7,60.6,51.0,13.1,16.2,27.0,11.7
91436,1.0,16190.0,155346.0,3036.0,6203.0,7812.0,486.0,3.5,68.9,76.8,8.6,11.4,23.4,8.7
91340,1.0,34822.0,71664.0,1502.0,9116.0,18118.0,1257.0,24.1,59.4,51.6,12.5,17.4,33.1,13.5
91605,1.0,51654.0,61031.0,1470.0,17252.0,28485.0,2584.0,18.1,60.3,53.9,11.6,17.5,30.6,12.7
91306,1.0,49460.0,82380.0,1568.0,14982.0,27144.0,2196.0,13.8,61.8,57.9,11.1,15.9,28.1,11.6
90717,1.0,21788.0,88111.0,1641.0,8713.0,11977.0,405.0,8.7,63.8,65.5,9.9,14.4,26.5,10.2
90502,1.0,18430.0,95528.0,1713.0,6837.0,10256.0,563.0,10.0,64.7,62.8,11.9,13.1,24.2,10.0
90029,1.0,34649.0,56529.0,1423.0,14442.0,20300.0,2042.0,17.0,60.9,53.5,12.6,16.8,29.6,12.6
90068,1.0,21064.0,97151.0,1939.0,14527.0,14649.0,1119.0,4.7,62.0,72.1,6.8,13.7,25.0,7.9
91331,1.0,99804.0,76942.0,1452.0,23926.0,48119.0,3087.0,24.7,59.0,50.1,12.6,17.7,32.7,13.6
91411,1.0,23689.0,73669.0,1643.0,9890.0,13957.0,1016.0,16.5,60.7,56.7,10.5,17.2,30.4,12.2
90077,1.0,7868.0,203194.0,2271.0,3602.0,3843.0,317.0,3.1,68.9,77.6,8.6,10.8,22.6,8.3
90042,1.0,59151.0,89168.0,1546.0,22187.0,35002.0,3095.0,15.8,61.1,58.6,11.2,15.4,29.0,11.1
90032,1.0,44881.0,76608.0,1273.0,14203.0,23232.0,2157.0,20.3,61.1,53.2,13.3,16.4,30.6,12.8
90021,1.0,2781.0,29659.0,906.0,1623.0,1561.0,207.0,18.2,63.7,44.5,21.4,18.4,40.9,18.3
90058,1.0,3049.0,34093.0,819.0,1130.0,1601.0,76.0,30.1,59.2,40.3,15.8,21.7,37.1,17.6
90023,1.0,44558.0,52918.0,1198.0,12314.0,19965.0,1753.0,30.8,58.3,43.7,14.5,19.5,35.5,15.9
90063,1.0,52008.0,69307.0,1243.0,14313.0,26121.0,1904.0,27.7,59.2,47.5,14.0,18.3,34.1,14.8
91602,1.0,19980.0,93210.0,1900.0,10638.0,13901.0,1080.0,5.6,61.8,70.4,6.8,14.6,25.7,8.3
91040,1.0,20911.0,103823.0,1497.0,8008.0,11181.0,927.0,7.9,64.4,66.0,10.1,14.8,27.1,11.0
